"ID","Sex","Age.at.Start..Month.","Age.Group","Light.Group","PRE.POST","Amplitude","Period","Phase","Mean","X..Variance","MESOR","F","p","RA","IV","IS","Group","Group_Age_Light","Group_Age_Sex","Age_new","Group_Sex_Light","Sex_new","Light_new"
"50","F  ","22","Old-age","ISF","POST",1.97,24,11,4.709,4.086,4.709,231.739,0,0.214,1.298,0.275,"Old_Female_ISF","Old_ISF","Old_Female","Old","Female_ISF","Female","ISF"
"50","F  ","22","Old-age","ISF","PRE",3.838,24,3.5,2.733,11.964,2.733,852.244,0,0.621,1.212,0.494,"Old_Female_ISF","Old_ISF","Old_Female","Old","Female_ISF","Female","ISF"
"51","F  ","22","Old-age","CNT","POST",2.989,24,18.25,3.95,3.45,3.95,286.883,0,0.408,1.249,0.318,"Old_Female_CTR","Old_CTR","Old_Female","Old","Female_CTR","Female","CTR"
"51","F  ","22","Old-age","CNT","PRE",3.163,24,3.5,3.008,5.559,3.008,368.852,0,0.542,1.21,0.439,"Old_Female_CTR","Old_CTR","Old_Female","Old","Female_CTR","Female","CTR"
"52","F  ","22","Old-age","ISF","POST",2.096,24,22.25,2.043,7.265,2.043,550.809,0,0.527,1.185,0.585,"Old_Female_ISF","Old_ISF","Old_Female","Old","Female_ISF","Female","ISF"
"52","F  ","22","Old-age","ISF","PRE",1.881,24,11.5,1.624,5.623,1.624,430.08,0,0.532,1.141,0.252,"Old_Female_ISF","Old_ISF","Old_Female","Old","Female_ISF","Female","ISF"
"53","F  ","9","Middle-age","CNT","POST",3.871,24,21.25,2.422,10.431,2.422,808.37,0,0.694,1.201,0.492,"Mid_Female_CTR","Mid_CTR","Mid_Female","Mid","Female_CTR","Female","CTR"
"53","F  ","9","Middle-age","CNT","PRE",4.166,24,20.5,2.598,13.821,2.598,1083.23,0,0.81,0.917,0.461,"Mid_Female_CTR","Mid_CTR","Mid_Female","Mid","Female_CTR","Female","CTR"
"54","M  ","9","Middle-age","CNT","POST",0.81,24,32.75,2.255,0.578,2.255,35.334,0,0.331,1.341,0.42,"Mid_Male_CTR","Mid_CTR","Mid_Male","Mid","Male_CTR","Male","CTR"
"54","M  ","9","Middle-age","CNT","PRE",0.816,24,59.5,1.74,0.565,1.74,43.529,0,0.46,1.326,0.297,"Mid_Male_CTR","Mid_CTR","Mid_Male","Mid","Male_CTR","Male","CTR"
"55","F  ","9","Middle-age","ISF","POST",2.515,24,20.25,1.519,10.773,1.519,815.108,0,0.689,1.435,0.505,"Mid_Female_ISF","Mid_ISF","Mid_Female","Mid","Female_ISF","Female","ISF"
"55","F  ","9","Middle-age","ISF","PRE",3.389,24,13.5,1.887,15.654,1.887,1313.05,0,0.764,0.991,0.544,"Mid_Female_ISF","Mid_ISF","Mid_Female","Mid","Female_ISF","Female","ISF"
"56","F  ","9","Middle-age","ISF","POST",3.272,24,24.5,2.155,13.472,2.155,1059.914,0,0.676,1.083,0.545,"Mid_Female_ISF","Mid_ISF","Mid_Female","Mid","Female_ISF","Female","ISF"
"57","M  ","9","Middle-age","ISF","POST",2.123,24,21,2.323,5.381,2.323,417.825,0,0.449,1.337,0.464,"Mid_Male_ISF","Mid_ISF","Mid_Male","Mid","Male_ISF","Male","ISF"
"57","M  ","9","Middle-age","ISF","PRE",2.201,24,18.5,1.884,6.577,1.884,480.241,0,0.611,1.186,0.377,"Mid_Male_ISF","Mid_ISF","Mid_Male","Mid","Male_ISF","Male","ISF"
